date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2017-10-16,84,20.0,,0.2,16.8
2017-10-17,67,20.0,,0.2,13.4
2017-10-18,96,20.0,,0.2,19.200000000000003
2017-10-19,66,20.0,,0.2,13.200000000000001
2017-10-20,100,20.0,,0.2,20.0
2017-10-21,78,20.0,,0.2,15.600000000000001
2017-10-22,64,20.0,False,0.2,12.8
2017-10-23,83,20.0,,0.2,16.6
2017-10-24,84,20.0,,0.2,16.8
2017-10-25,90,20.0,,0.2,18.0
2017-10-26,78,20.0,,0.2,15.600000000000001
2017-10-27,67,20.0,,0.2,13.4
2017-10-28,70,20.0,,0.2,14.0
2017-10-29,61,24.0,False,0.24,14.639999999999999
2017-10-30,54,24.0,,0.24,12.959999999999999
2017-10-31,89,24.0,,0.24,21.36
2017-11-01,30,24.0,,0.24,7.199999999999999
2017-11-02,52,24.0,,0.24,12.48
2017-11-03,32,24.0,,0.24,7.68
2017-11-04,20,24.0,,0.24,4.8
2017-11-05,29,32.0,False,0.32,9.28
2017-11-06,25,32.0,,0.32,8.0
2017-11-07,25,32.0,,0.32,8.0
2017-11-08,29,32.0,,0.32,9.28
2017-11-09,37,32.0,,0.32,11.84
2017-11-10,49,32.0,,0.32,15.68
2017-11-11,33,32.0,,0.32,10.56
2017-11-12,47,30.0,False,0.3,14.1
2017-11-13,38,30.0,,0.3,11.4
2017-11-14,29,30.0,,0.3,8.7
2017-11-15,25,30.0,,0.3,7.5
2017-11-16,31,30.0,,0.3,9.299999999999999
2017-11-17,37,30.0,,0.3,11.1
2017-11-18,28,30.0,,0.3,8.4
2017-11-19,20,24.0,False,0.24,4.8
2017-11-20,32,24.0,,0.24,7.68
2017-11-21,33,24.0,,0.24,7.92
2017-11-22,23,24.0,,0.24,5.52
2017-11-23,22,24.0,,0.24,5.279999999999999
2017-11-24,27,24.0,,0.24,6.4799999999999995
2017-11-25,24,24.0,,0.24,5.76
2017-11-26,34,49.0,False,0.49,16.66
2017-11-27,36,49.0,,0.49,17.64
2017-11-28,64,49.0,,0.49,31.36
2017-11-29,100,49.0,,0.49,49.0
2017-11-30,95,49.0,,0.49,46.55
2017-12-01,24,49.0,,0.49,11.76
2017-12-02,19,49.0,,0.49,9.31
2017-12-03,14,77.0,False,0.77,10.780000000000001
2017-12-04,21,77.0,,0.77,16.17
2017-12-05,17,77.0,,0.77,13.09
2017-12-06,36,77.0,,0.77,27.72
2017-12-07,63,77.0,,0.77,48.51
2017-12-08,48,77.0,,0.77,36.96
2017-12-09,38,77.0,,0.77,29.26
2017-12-10,35,74.0,False,0.74,25.9
2017-12-11,39,74.0,,0.74,28.86
2017-12-12,35,74.0,,0.74,25.9
2017-12-13,38,74.0,,0.74,28.12
2017-12-14,34,74.0,,0.74,25.16
2017-12-15,26,74.0,,0.74,19.24
2017-12-16,29,74.0,,0.74,21.46
2017-12-17,25,100.0,False,1.0,25.0
2017-12-18,32,100.0,,1.0,32.0
2017-12-19,37,100.0,,1.0,37.0
2017-12-20,57,100.0,,1.0,57.0
2017-12-21,52,100.0,,1.0,52.0
2017-12-22,100,100.0,,1.0,100.0
2017-12-23,40,100.0,,1.0,40.0
2017-12-24,34,55.0,False,0.55,18.700000000000003
2017-12-25,22,55.0,,0.55,12.100000000000001
2017-12-26,28,55.0,,0.55,15.400000000000002
2017-12-27,25,55.0,,0.55,13.750000000000002
2017-12-28,31,55.0,,0.55,17.05
2017-12-29,29,55.0,,0.55,15.950000000000001
2017-12-30,37,55.0,,0.55,20.35
2017-12-31,21,45.0,False,0.45,9.450000000000001
2018-01-01,34,45.0,,0.45,15.3
2018-01-02,40,45.0,,0.45,18.0
2018-01-03,35,45.0,,0.45,15.75
2018-01-04,36,45.0,,0.45,16.2
2018-01-05,24,45.0,,0.45,10.8
2018-01-06,24,45.0,,0.45,10.8
2018-01-07,27,52.0,False,0.52,14.040000000000001
2018-01-08,31,52.0,,0.52,16.12
2018-01-09,26,52.0,,0.52,13.52
2018-01-10,43,52.0,,0.52,22.36
2018-01-11,45,52.0,,0.52,23.400000000000002
2018-01-12,35,52.0,,0.52,18.2
2018-01-13,31,52.0,,0.52,16.12
2018-01-14,30,80.0,False,0.8,24.0
2018-01-15,25,80.0,,0.8,20.0
2018-01-16,81,80.0,,0.8,64.8
2018-01-17,100,80.0,,0.8,80.0
2018-01-18,52,80.0,,0.8,41.6
2018-01-19,34,80.0,,0.8,27.200000000000003
2018-01-20,26,80.0,,0.8,20.8
2018-01-21,35,45.0,False,0.45,15.75
2018-01-22,42,45.0,,0.45,18.900000000000002
2018-01-23,39,45.0,,0.45,17.55
2018-01-24,23,45.0,,0.45,10.35
2018-01-25,24,45.0,,0.45,10.8
2018-01-26,39,45.0,,0.45,17.55
2018-01-27,22,45.0,,0.45,9.9
2018-01-28,20,52.0,False,0.52,10.4
2018-01-29,19,52.0,,0.52,9.88
2018-01-30,32,52.0,,0.52,16.64
2018-01-31,33,52.0,,0.52,17.16
2018-02-01,70,52.0,,0.52,36.4
2018-02-02,89,52.0,,0.52,46.28
2018-02-03,50,52.0,,0.52,26.0
2018-02-04,48,64.0,False,0.64,30.72
2018-02-05,84,64.0,,0.64,53.76
2018-02-06,100,64.0,,0.64,64.0
