date,bitcoin dolar_unscaled,bitcoin dolar_monthly,isPartial,scale,bitcoin dolar
2018-01-21,70,8.0,False,0.08,5.6000000000000005
2018-01-22,77,8.0,,0.08,6.16
2018-01-23,83,8.0,,0.08,6.640000000000001
2018-01-24,57,8.0,,0.08,4.5600000000000005
2018-01-25,100,8.0,,0.08,8.0
2018-01-26,82,8.0,,0.08,6.5600000000000005
2018-01-27,48,8.0,,0.08,3.84
2018-01-28,48,7.0,False,0.07,3.3600000000000003
2018-01-29,78,7.0,,0.07,5.460000000000001
2018-01-30,53,7.0,,0.07,3.7100000000000004
2018-01-31,57,7.0,,0.07,3.99
2018-02-01,65,7.0,,0.07,4.550000000000001
2018-02-02,83,7.0,,0.07,5.8100000000000005
2018-02-03,45,7.0,,0.07,3.1500000000000004
2018-02-04,40,9.0,False,0.09,3.5999999999999996
2018-02-05,89,9.0,,0.09,8.01
2018-02-06,100,9.0,,0.09,9.0
2018-02-07,60,9.0,,0.09,5.3999999999999995
2018-02-08,36,9.0,,0.09,3.2399999999999998
2018-02-09,60,9.0,,0.09,5.3999999999999995
2018-02-10,44,9.0,,0.09,3.96
2018-02-11,20,6.0,False,0.06,1.2
2018-02-12,40,6.0,,0.06,2.4
2018-02-13,36,6.0,,0.06,2.16
2018-02-14,29,6.0,,0.06,1.74
2018-02-15,33,6.0,,0.06,1.98
2018-02-16,34,6.0,,0.06,2.04
2018-02-17,41,6.0,,0.06,2.46
2018-02-18,20,5.0,False,0.05,1.0
2018-02-19,43,5.0,,0.05,2.15
2018-02-20,32,5.0,,0.05,1.6
2018-02-21,43,5.0,,0.05,2.15
2018-02-22,57,5.0,,0.05,2.85
2018-02-23,26,5.0,,0.05,1.3
2018-02-24,32,5.0,,0.05,1.6
2018-02-25,20,5.0,False,0.05,1.0
2018-02-26,35,5.0,,0.05,1.75
2018-02-27,49,5.0,,0.05,2.45
2018-02-28,24,5.0,,0.05,1.2000000000000002
2018-03-01,62,5.0,,0.05,3.1
2018-03-02,51,5.0,,0.05,2.5500000000000003
