date,bitcoin dollar_unscaled,bitcoin dollar_monthly,isPartial,scale,bitcoin dollar
2017-10-05,38,10.0,,0.1,3.8000000000000003
2017-10-06,36,10.0,,0.1,3.6
2017-10-07,20,10.0,,0.1,2.0
2017-10-08,20,14.0,False,0.14,2.8000000000000003
2017-10-09,61,14.0,,0.14,8.540000000000001
2017-10-10,37,14.0,,0.14,5.180000000000001
2017-10-11,51,14.0,,0.14,7.140000000000001
2017-10-12,91,14.0,,0.14,12.740000000000002
2017-10-13,100,14.0,,0.14,14.000000000000002
2017-10-14,52,14.0,,0.14,7.280000000000001
2017-10-15,31,12.0,False,0.12,3.7199999999999998
2017-10-16,64,12.0,,0.12,7.68
2017-10-17,27,12.0,,0.12,3.2399999999999998
2017-10-18,45,12.0,,0.12,5.3999999999999995
2017-10-19,49,12.0,,0.12,5.88
2017-10-20,65,12.0,,0.12,7.8
2017-10-21,71,12.0,,0.12,8.52
2017-10-22,41,13.0,False,0.13,5.33
2017-10-23,81,13.0,,0.13,10.530000000000001
2017-10-24,81,13.0,,0.13,10.530000000000001
2017-10-25,71,13.0,,0.13,9.23
2017-10-26,27,13.0,,0.13,3.5100000000000002
2017-10-27,61,13.0,,0.13,7.930000000000001
2017-10-28,24,13.0,,0.13,3.12
2017-10-29,50,20.0,False,0.2,10.0
2017-10-30,71,20.0,,0.2,14.200000000000001
2017-10-31,42,20.0,,0.2,8.4
2017-11-01,35,20.0,,0.2,7.0
2017-11-02,38,20.0,,0.2,7.6000000000000005
2017-11-03,32,20.0,,0.2,6.4
2017-11-04,25,20.0,,0.2,5.0
2017-11-05,29,22.0,False,0.22,6.38
2017-11-06,30,22.0,,0.22,6.6
2017-11-07,37,22.0,,0.22,8.14
2017-11-08,20,22.0,,0.22,4.4
2017-11-09,26,22.0,,0.22,5.72
2017-11-10,44,22.0,,0.22,9.68
2017-11-11,24,22.0,,0.22,5.28
2017-11-12,40,18.0,False,0.18,7.199999999999999
2017-11-13,35,18.0,,0.18,6.3
2017-11-14,23,18.0,,0.18,4.14
2017-11-15,27,18.0,,0.18,4.859999999999999
2017-11-16,23,18.0,,0.18,4.14
2017-11-17,36,18.0,,0.18,6.4799999999999995
2017-11-18,38,18.0,,0.18,6.84
2017-11-19,31,20.0,False,0.2,6.2
2017-11-20,27,20.0,,0.2,5.4
2017-11-21,39,20.0,,0.2,7.800000000000001
2017-11-22,20,20.0,,0.2,4.0
2017-11-23,37,20.0,,0.2,7.4
2017-11-24,29,20.0,,0.2,5.800000000000001
2017-11-25,34,20.0,,0.2,6.800000000000001
2017-11-26,45,46.0,False,0.46,20.7
2017-11-27,73,46.0,,0.46,33.58
2017-11-28,58,46.0,,0.46,26.68
2017-11-29,100,46.0,,0.46,46.0
2017-11-30,81,46.0,,0.46,37.260000000000005
2017-12-01,44,46.0,,0.46,20.240000000000002
2017-12-02,34,46.0,,0.46,15.64
2017-12-03,38,62.0,False,0.62,23.56
2017-12-04,38,62.0,,0.62,23.56
2017-12-05,51,62.0,,0.62,31.62
2017-12-06,74,62.0,,0.62,45.88
2017-12-07,96,62.0,,0.62,59.519999999999996
2017-12-08,100,62.0,,0.62,62.0
2017-12-09,76,62.0,,0.62,47.12
2017-12-10,44,57.0,False,0.57,25.08
2017-12-11,77,57.0,,0.57,43.88999999999999
2017-12-12,53,57.0,,0.57,30.209999999999997
2017-12-13,40,57.0,,0.57,22.799999999999997
2017-12-14,57,57.0,,0.57,32.489999999999995
2017-12-15,39,57.0,,0.57,22.229999999999997
2017-12-16,42,57.0,,0.57,23.939999999999998
2017-12-17,60,58.0,False,0.58,34.8
2017-12-18,58,58.0,,0.58,33.64
2017-12-19,58,58.0,,0.58,33.64
2017-12-20,55,58.0,,0.58,31.9
2017-12-21,51,58.0,,0.58,29.58
2017-12-22,100,58.0,,0.58,57.99999999999999
2017-12-23,63,58.0,,0.58,36.54
2017-12-24,47,43.0,False,0.43,20.21
2017-12-25,57,43.0,,0.43,24.509999999999998
2017-12-26,44,43.0,,0.43,18.919999999999998
2017-12-27,50,43.0,,0.43,21.5
2017-12-28,52,43.0,,0.43,22.36
2017-12-29,46,43.0,,0.43,19.78
2017-12-30,38,43.0,,0.43,16.34
2017-12-31,38,35.0,False,0.35,13.299999999999999
2018-01-01,35,35.0,,0.35,12.25
2018-01-02,66,35.0,,0.35,23.099999999999998
2018-01-03,61,35.0,,0.35,21.349999999999998
2018-01-04,57,35.0,,0.35,19.95
2018-01-05,65,35.0,,0.35,22.75
2018-01-06,57,35.0,,0.35,19.95
2018-01-07,51,30.0,False,0.3,15.299999999999999
2018-01-08,56,30.0,,0.3,16.8
2018-01-09,40,30.0,,0.3,12.0
2018-01-10,55,30.0,,0.3,16.5
2018-01-11,63,30.0,,0.3,18.9
2018-01-12,54,30.0,,0.3,16.2
2018-01-13,41,30.0,,0.3,12.299999999999999
2018-01-14,28,39.0,False,0.39,10.92
2018-01-15,34,39.0,,0.39,13.26
2018-01-16,70,39.0,,0.39,27.3
2018-01-17,100,39.0,,0.39,39.0
2018-01-18,81,39.0,,0.39,31.59
2018-01-19,57,39.0,,0.39,22.23
2018-01-20,56,39.0,,0.39,21.84
2018-01-21,33,26.0,False,0.26,8.58
2018-01-22,52,26.0,,0.26,13.52
2018-01-23,37,26.0,,0.26,9.620000000000001
2018-01-24,40,26.0,,0.26,10.4
2018-01-25,45,26.0,,0.26,11.700000000000001
2018-01-26,37,26.0,,0.26,9.620000000000001
2018-01-27,32,26.0,,0.26,8.32
2018-01-28,26,29.0,False,0.29,7.539999999999999
2018-01-29,38,29.0,,0.29,11.02
2018-01-30,36,29.0,,0.29,10.44
2018-01-31,53,29.0,,0.29,15.37
