date,bitcoin wallet_unscaled,bitcoin wallet_monthly,isPartial,scale,bitcoin wallet
2021-05-12,64,24.0,,0.24,15.36
2021-05-13,87,24.0,,0.24,20.88
2021-05-14,88,24.0,,0.24,21.119999999999997
2021-05-15,80,24.0,,0.24,19.2
2021-05-16,75,20.0,False,0.2,15.0
2021-05-17,70,20.0,,0.2,14.0
2021-05-18,59,20.0,,0.2,11.8
2021-05-19,75,20.0,,0.2,15.0
2021-05-20,77,20.0,,0.2,15.4
2021-05-21,53,20.0,,0.2,10.600000000000001
2021-05-22,52,20.0,,0.2,10.4
2021-05-23,71,18.0,False,0.18,12.78
2021-05-24,42,18.0,,0.18,7.56
2021-05-25,63,18.0,,0.18,11.34
2021-05-26,63,18.0,,0.18,11.34
2021-05-27,55,18.0,,0.18,9.9
2021-05-28,45,18.0,,0.18,8.1
2021-05-29,58,18.0,,0.18,10.44
2021-05-30,53,20.0,False,0.2,10.600000000000001
2021-05-31,58,20.0,,0.2,11.600000000000001
2021-06-01,84,20.0,,0.2,16.8
2021-06-02,90,20.0,,0.2,18.0
2021-06-03,89,20.0,,0.2,17.8
2021-06-04,84,20.0,,0.2,16.8
2021-06-05,100,20.0,,0.2,20.0
2021-06-06,67,16.0,False,0.16,10.72
2021-06-07,64,16.0,,0.16,10.24
2021-06-08,100,16.0,,0.16,16.0
2021-06-09,76,16.0,,0.16,12.16
2021-06-10,50,16.0,,0.16,8.0
2021-06-11,76,16.0,,0.16,12.16
2021-06-12,62,16.0,,0.16,9.92
2021-06-13,69,12.0,False,0.12,8.28
2021-06-14,59,12.0,,0.12,7.08
2021-06-15,69,12.0,,0.12,8.28
2021-06-16,60,12.0,,0.12,7.199999999999999
2021-06-17,68,12.0,,0.12,8.16
2021-06-18,38,12.0,,0.12,4.56
2021-06-19,58,12.0,,0.12,6.96
2021-06-20,65,15.0,False,0.15,9.75
2021-06-21,52,15.0,,0.15,7.8
2021-06-22,59,15.0,,0.15,8.85
2021-06-23,62,15.0,,0.15,9.299999999999999
2021-06-24,71,15.0,,0.15,10.65
2021-06-25,79,15.0,,0.15,11.85
2021-06-26,73,15.0,,0.15,10.95
2021-06-27,82,14.0,False,0.14,11.48
2021-06-28,48,14.0,,0.14,6.720000000000001
2021-06-29,72,14.0,,0.14,10.080000000000002
2021-06-30,48,14.0,,0.14,6.720000000000001
2021-07-01,85,14.0,,0.14,11.9
2021-07-02,79,14.0,,0.14,11.06
2021-07-03,100,14.0,,0.14,14.000000000000002
2021-07-04,77,10.0,False,0.1,7.7
2021-07-05,68,10.0,,0.1,6.800000000000001
2021-07-06,70,10.0,,0.1,7.0
2021-07-07,63,10.0,,0.1,6.300000000000001
2021-07-08,58,10.0,,0.1,5.800000000000001
2021-07-09,71,10.0,,0.1,7.1000000000000005
2021-07-10,86,10.0,,0.1,8.6
2021-07-11,60,11.0,False,0.11,6.6
2021-07-12,77,11.0,,0.11,8.47
2021-07-13,76,11.0,,0.11,8.36
2021-07-14,76,11.0,,0.11,8.36
2021-07-15,72,11.0,,0.11,7.92
2021-07-16,39,11.0,,0.11,4.29
2021-07-17,84,11.0,,0.11,9.24
2021-07-18,49,10.0,False,0.1,4.9
2021-07-19,59,10.0,,0.1,5.9
2021-07-20,54,10.0,,0.1,5.4
2021-07-21,67,10.0,,0.1,6.7
2021-07-22,41,10.0,,0.1,4.1000000000000005
2021-07-23,67,10.0,,0.1,6.7
2021-07-24,73,10.0,,0.1,7.300000000000001
2021-07-25,96,11.0,False,0.11,10.56
2021-07-26,78,11.0,,0.11,8.58
2021-07-27,85,11.0,,0.11,9.35
2021-07-28,70,11.0,,0.11,7.7
2021-07-29,71,11.0,,0.11,7.81
2021-07-30,69,11.0,,0.11,7.59
2021-07-31,84,11.0,,0.11,9.24
2021-08-01,60,12.0,False,0.12,7.199999999999999
2021-08-02,56,12.0,,0.12,6.72
2021-08-03,58,12.0,,0.12,6.96
2021-08-04,67,12.0,,0.12,8.04
2021-08-05,34,12.0,,0.12,4.08
2021-08-06,69,12.0,,0.12,8.28
2021-08-07,53,12.0,,0.12,6.359999999999999
2021-08-08,89,13.0,False,0.13,11.57
2021-08-09,96,13.0,,0.13,12.48
2021-08-10,75,13.0,,0.13,9.75
2021-08-11,65,13.0,,0.13,8.450000000000001
2021-08-12,78,13.0,,0.13,10.14
2021-08-13,59,13.0,,0.13,7.67
2021-08-14,75,13.0,,0.13,9.75
2021-08-15,83,13.0,False,0.13,10.790000000000001
2021-08-16,73,13.0,,0.13,9.49
2021-08-17,61,13.0,,0.13,7.930000000000001
2021-08-18,68,13.0,,0.13,8.84
2021-08-19,93,13.0,,0.13,12.09
2021-08-20,65,13.0,,0.13,8.450000000000001
2021-08-21,100,13.0,,0.13,13.0
2021-08-22,67,11.0,False,0.11,7.37
2021-08-23,96,11.0,,0.11,10.56
2021-08-24,72,11.0,,0.11,7.92
2021-08-25,64,11.0,,0.11,7.04
2021-08-26,53,11.0,,0.11,5.83
2021-08-27,74,11.0,,0.11,8.14
2021-08-28,56,11.0,,0.11,6.16
2021-08-29,68,12.0,False,0.12,8.16
2021-08-30,47,12.0,,0.12,5.64
2021-08-31,72,12.0,,0.12,8.64
2021-09-01,46,12.0,,0.12,5.52
2021-09-02,79,12.0,,0.12,9.48
2021-09-03,73,12.0,,0.12,8.76
2021-09-04,67,12.0,,0.12,8.04
2021-09-05,89,17.0,False,0.17,15.13
2021-09-06,86,17.0,,0.17,14.620000000000001
2021-09-07,100,17.0,,0.17,17.0
2021-09-08,75,17.0,,0.17,12.750000000000002
2021-09-09,90,17.0,,0.17,15.3
2021-09-10,38,17.0,,0.17,6.460000000000001
2021-09-11,64,17.0,,0.17,10.88
2021-09-12,76,15.0,False,0.15,11.4
2021-09-13,57,15.0,,0.15,8.549999999999999
2021-09-14,74,15.0,,0.15,11.1
2021-09-15,92,15.0,,0.15,13.799999999999999
2021-09-16,49,15.0,,0.15,7.35
2021-09-17,84,15.0,,0.15,12.6
2021-09-18,82,15.0,,0.15,12.299999999999999
2021-09-19,84,15.0,False,0.15,12.6
2021-09-20,53,15.0,,0.15,7.949999999999999
2021-09-21,78,15.0,,0.15,11.7
2021-09-22,79,15.0,,0.15,11.85
2021-09-23,76,15.0,,0.15,11.4
2021-09-24,67,15.0,,0.15,10.049999999999999
2021-09-25,73,15.0,,0.15,10.95
2021-09-26,54,11.0,False,0.11,5.94
2021-09-27,61,11.0,,0.11,6.71
2021-09-28,55,11.0,,0.11,6.05
2021-09-29,52,11.0,,0.11,5.72
2021-09-30,62,11.0,,0.11,6.82
2021-10-01,100,11.0,,0.11,11.0
2021-10-02,68,11.0,,0.11,7.48
2021-10-03,69,11.0,False,0.11,7.59
2021-10-04,81,11.0,,0.11,8.91
2021-10-05,62,11.0,,0.11,6.82
2021-10-06,50,11.0,,0.11,5.5
2021-10-07,46,11.0,,0.11,5.06
2021-10-08,40,11.0,,0.11,4.4
2021-10-09,50,11.0,,0.11,5.5
2021-10-10,49,10.0,False,0.1,4.9
2021-10-11,57,10.0,,0.1,5.7
2021-10-12,60,10.0,,0.1,6.0
2021-10-13,48,10.0,,0.1,4.800000000000001
2021-10-14,49,10.0,,0.1,4.9
2021-10-15,59,10.0,,0.1,5.9
2021-10-16,83,10.0,,0.1,8.3
2021-10-17,60,12.0,False,0.12,7.199999999999999
2021-10-18,59,12.0,,0.12,7.08
2021-10-19,57,12.0,,0.12,6.84
2021-10-20,83,12.0,,0.12,9.959999999999999
2021-10-21,68,12.0,,0.12,8.16
2021-10-22,58,12.0,,0.12,6.96
2021-10-23,53,12.0,,0.12,6.359999999999999
2021-10-24,57,11.0,False,0.11,6.2700000000000005
2021-10-25,44,11.0,,0.11,4.84
2021-10-26,47,11.0,,0.11,5.17
2021-10-27,76,11.0,,0.11,8.36
2021-10-28,63,11.0,,0.11,6.93
2021-10-29,79,11.0,,0.11,8.69
2021-10-30,72,11.0,,0.11,7.92
2021-10-31,73,11.0,False,0.11,8.03
2021-11-01,86,11.0,,0.11,9.46
2021-11-02,95,11.0,,0.11,10.45
2021-11-03,93,11.0,,0.11,10.23
2021-11-04,73,11.0,,0.11,8.03
2021-11-05,86,11.0,,0.11,9.46
2021-11-06,99,11.0,,0.11,10.89
2021-11-07,89,11.0,False,0.11,9.790000000000001
2021-11-08,83,11.0,,0.11,9.13
2021-11-09,93,11.0,,0.11,10.23
2021-11-10,88,11.0,,0.11,9.68
2021-11-11,50,11.0,,0.11,5.5
2021-11-12,87,11.0,,0.11,9.57
2021-11-13,100,11.0,,0.11,11.0
2021-11-14,93,12.0,False,0.12,11.16
2021-11-15,83,12.0,,0.12,9.959999999999999
2021-11-16,65,12.0,,0.12,7.8
2021-11-17,82,12.0,,0.12,9.84
2021-11-18,82,12.0,,0.12,9.84
2021-11-19,89,12.0,,0.12,10.68
2021-11-20,46,12.0,,0.12,5.52
2021-11-21,63,10.0,False,0.1,6.300000000000001
2021-11-22,92,10.0,,0.1,9.200000000000001
2021-11-23,80,10.0,,0.1,8.0
2021-11-24,89,10.0,,0.1,8.9
2021-11-25,69,10.0,,0.1,6.9
2021-11-26,74,10.0,,0.1,7.4
2021-11-27,53,10.0,,0.1,5.300000000000001
2021-11-28,74,11.0,True,0.11,8.14
2021-11-29,74,11.0,,0.11,8.14
2021-11-30,86,11.0,,0.11,9.46
2021-12-01,55,11.0,,0.11,6.05
2021-12-02,100,11.0,,0.11,11.0
